NUDOSS,NULIGN,SOCDOS,PGPDOS,CODLAN,CODCON,ANNEES,IDZYES,DATDEB,DATFIN,DEBACQ,FINACQ,ACQUIA,REPPRE,REPECR,REPSUI,PAYESS,DRTPRI,RESTAN,AJUST1,MOTIF1,AJUST2,MOTIF2,AJUST3,MOTIF3,AJUST4,MOTIF4,DTUPD1,MOTIR1,AMREP1,CPTCR1,DTUPD2,MOTIR2,AMREP2,CPTCR2,DTUPD3,MOTIR3,AMREP3,CPTCR3,AMREPT,POSBUL,IDGPRG,SOCCLE,MATRIC,NUDOSP,IDSITU,PERPAI,USAGEP,NUMTRT,NUMBUL,TIMEST,HHPRIS,JJREEL,HHREEL,HHREST,HHACQU,JJRELI,HHRELI,JFRACT,HFRACT,MODELR,REPELR,LIBELL
11,11,a3t65RoJsLdNW2LB0o,11,Sxp0EuFmnkn1JNHcGt,YBf2MdbXVOOjHBu1oo,3/4/2022,11,12/27/2021,2/21/2022,7/14/2021,9/2/2021,11,11,11,11,11,11,11,11,"",11,quZpYVZPmLBEIcXkLr,11,P8vi6El81Tmj4FC9Rz,11,0lXTUFNkWYsleh1Ntk,11/8/2021,68Tvg78WyJ3y2tYCQo,11,YvOJkoIbByrDsPsGYF,11/28/2021,rJiGy3UezTxvB8oPUL,11,irTmexHVTv3S4Fp3aN,7/25/2021,BXagEqpCDyXEPSWeh8,11,9lixnnbKhbpZ7qgw8P,11,"",11,"","",11,JVI4F12w5I82JJlAdQ,X7afTH6vHkHSGq6pSh,LVbx8Yv3zCR7vjNuK4,DwgrI0mcN6wJmK61Lm,oerMNvSty2dr5ei0X6,6/20/2022,11,11,11,11,11,11,11,11,11,"","",""
12,12,vxs9uF18I5Bzrz0dFG,12,YZMv3PbG2EpXL7GKlo,247W46c8CdzdNBBhKQ,12/1/2021,12,6/22/2022,12/27/2021,6/14/2022,4/30/2022,12,12,12,12,12,12,12,12,"",12,dx5OMbawW4Pi19ngJH,12,mKjS0ZE6ksQJW7tsnm,12,vQWD3cDBmDxgxGQN1q,10/26/2021,XXBcBkU58gA8dLeS2K,12,THyn2mG5QuEuMLIJTm,5/24/2022,6KRVQMhLc2K2qnJxjk,12,wIoagyOqaLAu9gHRXh,8/7/2021,o8iYBPUidTaYSozvn5,12,JCpmtUAvgqq9tui42M,12,"",12,"","",12,20bfkM8aDGrvqptO4J,ElBVjjstkYumAnfNeb,eeT82PpirvjHY3TBmh,iR3AEo0R2fzah8D5Ta,FrbOxkJE9AgnVixfRV,5/8/2022,12,12,12,12,12,12,12,12,12,"","",""
13,13,mLuANE5NE3ZYzxCQtv,13,WVhT89icOjg7yWUhfB,DQIw4jWgnZE0pyKRbc,11/26/2021,13,12/3/2021,12/20/2021,6/15/2022,2/1/2022,13,13,13,13,13,13,13,13,"",13,8LD6MfbTsGnaPQ3VwT,13,A4Q2a12mlsajfSj9He,13,PXCLDw8qqMLniKfR1I,9/15/2021,dCS3wOjf2RMMcniLfg,13,E3qMQq0k5Ilauv2uEO,12/20/2021,IHWwzfOAbIBA38AC4B,13,LVgl9ztNYGljoQk6yr,1/22/2022,E6OG33OTWFVmz69N8P,13,Y8F2CygOdcXi32XjIU,13,"",13,"","",13,1Id7cKpksHvWQ8ek8O,TsuHoIECyftEkhOyo0,8ybmeDvlEwPLpXaZgj,eJ4ky3AcmoN3NVJqXp,nQzpBX62PX3gMeVuCe,2/25/2022,13,13,13,13,13,13,13,13,13,"","",""
14,14,SXyoSeniyLE38Y5yb8,14,Lh00j8zpFfsk1r8dbI,FsHDkwn1i5nuf7kLBA,2/28/2022,14,8/22/2021,11/14/2021,1/12/2022,5/27/2022,14,14,14,14,14,14,14,14,"",14,Xpautk5kabux1xM1cU,14,aJ1WZDcp7NaorpfIF0,14,pDMXM4xead00hzhmeE,2/5/2022,lMY3biI6B2N3ZDAfgR,14,mJB3EWZ0I4hlIYIWKQ,1/21/2022,oJMy23B3I17nTcbr9H,14,flQUbZAvEUN6Io8ylO,1/5/2022,trLoDeiaRzpw2lRzTN,14,Gox0SjHApmV1ifotMK,14,"",14,"","",14,66FPIPHdA4HH6x3q6V,xRkQxreK6TY4COrMTS,fZJ28T52s1KvyBypNO,hoLsluVIJIutddmLbD,EDDFl8BZjDVeQkTtnU,7/23/2021,14,14,14,14,14,14,14,14,14,"","",""
15,15,X4BoJfoCvXjGtiNaGw,15,s7hMHGHwjJC8rXCuUE,hKbUzGCx6vLW0rkFqS,11/3/2021,15,8/20/2021,5/31/2022,4/29/2022,2/2/2022,15,15,15,15,15,15,15,15,"",15,T7i13WiuwxeujAu3hO,15,kay8NdRIQEPCzMxc3E,15,pl1ujYcXPApY3kCCxS,5/2/2022,I1ejwhBgjQQ8LthL3Q,15,F5So7r5dgTMi7xrwBJ,1/31/2022,B8PzwyLLYje1NyNdgY,15,VjdCQoyHkeMLuf608x,11/8/2021,fX09dv7ux2aiDNPfBM,15,K213TCeQ8L0YnEM0d8,15,"",15,"","",15,HWz8lJUTPDkvkwsRWu,bvYcZMbWbGMtVXfkrg,lHjnCeov46cxPsZW20,KqlXrzn2wLfVVhkSxj,nk6B3j9xPVqyQ37Pqo,9/1/2021,15,15,15,15,15,15,15,15,15,"","",""
16,16,kFz1wbUWH4Kf5Q2kbh,16,0wbdGeSAw5ChXlGcGH,VNpx2MtfSyKmW3RLQK,10/29/2021,16,10/4/2021,1/17/2022,8/26/2021,7/4/2022,16,16,16,16,16,16,16,16,"",16,zTSUeUzDLsrwJgrcyf,16,RgjJoGmxaNaWTicljs,16,n2Exd7WtKBNlm3Uj6i,4/28/2022,r3adZX4mmdFmgRPPUw,16,Px4cZfFEjyuiuwce8t,10/5/2021,ZMHNvEgUBJYlGL3B66,16,d5uGU8i7phDyu34ZcV,11/16/2021,EPsOIom11nHdLRyBbw,16,3duY8FLKTQWvYR1atJ,16,"",16,"","",16,iDtFOUsO23u5PfJjou,xQgH0XOGosxyE1HoAz,EPsvT9XTilnW3KaLza,D8vS39kVfz69V6v4ox,OUYnKaLMSyMEepPG21,11/4/2021,16,16,16,16,16,16,16,16,16,"","",""
17,17,rSvFlnFIceIlvCY9nS,17,kUccZzLT1IjQD0CsSw,0SYksQcJPj1RXtkdWX,1/24/2022,17,4/19/2022,10/14/2021,1/19/2022,1/22/2022,17,17,17,17,17,17,17,17,"",17,7GuTRISJbW2nxtfgD4,17,4Q7ymoeXrfh7chMxsw,17,EwZCUvgOlGee4gXZAp,5/26/2022,lJJg5ahGHUfZJIn9Or,17,ZmVr21tpxVFikyTZ1v,4/30/2022,22aiEgIs0II5BxGCRQ,17,Y42AHi0IymnkB9IeCv,1/11/2022,1biYmyAp3amgh8VmSc,17,YjPwZDgonumesbViOj,17,"",17,"","",17,OQPgvIVsT4upUHLCKF,yWvqayOKbNBVur56iP,1amvb9hXlFwXCVXQXD,TNJVoEEdkZc1GYYs9o,zAUNdElNmCfqWRhGbw,5/31/2022,17,17,17,17,17,17,17,17,17,"","",""
18,18,Jknevcb6S7Bi3m0wDE,18,O3xeVcKoCFF5bsXvWb,PmghZ6kpGKILuIAbJ9,5/12/2022,18,3/10/2022,2/2/2022,12/21/2021,4/14/2022,18,18,18,18,18,18,18,18,"",18,K4efixOqlcuadUNDw1,18,2BNIQDkOzLjvdZZWRi,18,TdoSJSullqByvfbgI5,10/16/2021,gmZAFOCSffVWEKHAoS,18,jpj7L0tdcpAf0pQeKW,5/17/2022,5lWx4C2djaDXLlI3eQ,18,gqHHnLbLaQiSAkSTlG,12/5/2021,tAV3WNIPPawKOdcxRi,18,T7q6edRgdH5aQVyq2W,18,"",18,"","",18,30VA1woNxHcc0VQQZJ,cJ005Enzr4QuCQ8Quw,nMUUjxK3sxDWl92dKm,Nb5cgb8FHexsmV79sm,PrzRJFl3d3owFYisvb,5/5/2022,18,18,18,18,18,18,18,18,18,"","",""
19,19,4b1NbZ7OANv5fQ69xq,19,dy2TIjHmDfIBOzM4vS,XpJJ8olfN4SBe3jom5,5/21/2022,19,2/16/2022,7/24/2021,12/18/2021,11/18/2021,19,19,19,19,19,19,19,19,"",19,HqbfAOn3pplKPlW4wy,19,DUlWhf9F9kdcAILADq,19,7fEoCFM353pZweRKtL,10/9/2021,ZKOmhrUBecoPdCMzIW,19,61jHPFoBi55ESRtzmH,3/31/2022,yi5Yca8xFznlZ6fJ66,19,2BEgeMoXwtF8rn6zMw,7/27/2021,kpqNfVPhU1fgvTqI2U,19,7TYxA9M1Dfe5yYghK8,19,"",19,"","",19,M0WysqSOHS6GE23csl,FYCxK0d0HQjTeVnwNj,dUxaFia4tbsmK7S1R7,UyjakXNtqu4Fqr0Xn4,EVzcOWW7KOICQIzUKt,10/17/2021,19,19,19,19,19,19,19,19,19,"","",""
20,20,rfLq326aAZAThPILy4,20,AZOIJt5EUUZd7XV5Tc,9e7OHyNEnntxAmfvS7,8/1/2021,20,11/11/2021,5/29/2022,7/17/2021,6/15/2022,20,20,20,20,20,20,20,20,"",20,3NrfDgABZn2xf3G84j,20,2FFAPHX4UO0MkRNolz,20,S552ybs4ItICjMofFS,12/25/2021,hCC3uaiGnCUK6xMOCs,20,xh5npYcmGS7bLPbbRc,9/14/2021,UTY9ByEHThzGJ22iec,20,5bFNTK4ji7j4Hjt3dr,5/23/2022,6SB8zEkbQigebmDQ6Y,20,ybUKUeYl0XT1Mng59z,20,"",20,"","",20,gkJXnKetkTqh0JRBFE,lIERruk6ENI4OeC9Ej,7BylMroRmZqTKiudTe,uhLCPzTyk0xWlXJIxa,J9zbJtVs1BLllbFn9e,8/19/2021,20,20,20,20,20,20,20,20,20,"","",""
21,21,7kKSbTfrLmamPvm7SU,21,3rb6zthbzvIET0RGYO,k9Kg4xJk6OYtJAXTUL,7/30/2021,21,3/31/2022,4/18/2022,5/27/2022,11/8/2021,21,21,21,21,21,21,21,21,"",21,1MtUdnqnvsOBNSfoo7,21,EhQwnVzKYDoIMlVFQO,21,D6RYHDbBe9ZhM23G5t,8/28/2021,nr3aUCEbnybryh8srX,21,bA56F7AsecgztEWn4m,7/26/2021,RFNHUIwgrcX6aslBH0,21,cS9ctWaq1IAZ36dVu6,4/22/2022,HR2GdMyoUuZPPgL1ig,21,AXgjR4aQMtnlb3dzHj,21,"",21,"","",21,Bp7JbLgQUDmEiG0MsF,y7TGBXsnN3wr3Le6cx,QWltrt74pGbcQt9McS,CV7QHDEJCgTqe3dGOD,cH8JgMHX2QAjwpF6L3,12/13/2021,21,21,21,21,21,21,21,21,21,"","",""
22,22,dmeQmXQQwM3M4EtBRN,22,6v0b8w91YUZWoIgszV,ekE5nBOtGHMFaQu6I7,2/17/2022,22,11/11/2021,11/20/2021,3/7/2022,3/24/2022,22,22,22,22,22,22,22,22,"",22,l0Cd3Wf6e9m0SBH0m1,22,zTbu56rQ3ZZyggOGHn,22,sygr3d4dtzvexBSdxF,11/10/2021,n9iPBOQxPk56PDw2s6,22,rJyipBO61r72wvS7F1,5/25/2022,P5Trm9eWkvvnRRzm4z,22,tHYpjri0hRyQlPM1ni,10/16/2021,V33MgiLZPyLRFjI9v7,22,bvh2N6vmO5ufHtKwfT,22,"",22,"","",22,4EQBaYl0cDZuDJyV09,LLu7hxgkxtMIoU9xDj,UJi1XKqHBoJWNJKOdZ,lBfFrMn8QQs3PHk53v,K5U47mzOu8BTkWpfop,9/25/2021,22,22,22,22,22,22,22,22,22,"","",""
23,23,5m4qWs5gNFfTzbE3kZ,23,ANZkZm1a8HdkXRRnRN,dtf7ZMDVln5UjfHBB6,4/21/2022,23,9/1/2021,4/28/2022,6/14/2022,12/16/2021,23,23,23,23,23,23,23,23,"",23,Z78wDbJoVFtFODARkX,23,RWKiI7ugXtncTZF0Jg,23,ofsL2o6QsrkytgL78w,8/25/2021,48espQlIwXKFvtvspZ,23,WC2eFkLIZV3ZjnyAn4,11/16/2021,FFOqQ5bA3KhetnVtkH,23,63ERoos7c9rhwKJPWR,6/26/2022,wEDP643Cs5UdiAzrA3,23,RXhjGfNdPDZfiqnDm8,23,"",23,"","",23,JGK3VQBdWbTCpyhnJJ,L7UTL1zkYRnGciVa8G,GKBeAQmFo5KResxwqY,0hGkxh5GmS9qou529x,aeqNwiHX9rs0TzgTFi,12/14/2021,23,23,23,23,23,23,23,23,23,"","",""
24,24,TGihjUUoy5gpss48Dp,24,XtMnQAKh3qEejkQRdL,Lo3b3DTNjNYqmdA1TQ,6/21/2022,24,11/29/2021,11/26/2021,2/8/2022,5/22/2022,24,24,24,24,24,24,24,24,"",24,gS9oM7UirUG16gCNhM,24,MKHMfb7lCZkcWxHgfn,24,AKLClkbVkUBa7LNGDT,5/20/2022,UvXQJxuVbf4JgOO9N6,24,WpThX43BzotBMEaGIv,12/18/2021,QjpYMWlscdkZH84OAS,24,IPsZKkazBGa4V0u1Zh,1/1/2022,JhkFMz7GeodK7SvEuy,24,jPbNY7w0RCfaqX7EC5,24,"",24,"","",24,VKMqf4jbuE9E5xDCtO,LsG5I8y3m6t9RnsZoa,jFpT8j4JMxUWFM6fwy,F1Q5b6KV36fUeSSahB,HW8q0ztswy9Pw40zmj,8/9/2021,24,24,24,24,24,24,24,24,24,"","",""
25,25,liFhUZHcvp5Ni8C128,25,yPfsLMYmfWt0beTlEL,mxSsf8KEVei6sJ0cBz,5/31/2022,25,8/31/2021,5/22/2022,5/8/2022,8/26/2021,25,25,25,25,25,25,25,25,"",25,bGt6QM8hWWCH8UxrtO,25,g4QCfenCjF5oOEk8I8,25,aQ19QJXoGgUzmh1e0I,12/2/2021,GCZIFiQbrqgUUx2kuH,25,nvOdCbVe20qCrIrBIX,3/24/2022,r849jVm3BY64nOCn6H,25,xtPdYTXgAb5Q6iCwe7,8/19/2021,QONWHGZrTUCPDQ77lV,25,dAYFtbnFdpJniCPPwT,25,"",25,"","",25,WiBwESzZ1KFH3Heas5,fzmp3VB7kSBwpmeOgX,VAPaydFzzQDnpKkxyF,k08DTLtnRCzeqF4MtZ,vLGXo8Jmly30tOgsTh,12/24/2021,25,25,25,25,25,25,25,25,25,"","",""
26,26,OrqmoJLKLqz0DAsIHY,26,OimbRMamsLImD4rcDa,TS35s7J5ZqBh8LJI2m,8/8/2021,26,1/11/2022,5/19/2022,11/23/2021,7/29/2021,26,26,26,26,26,26,26,26,"",26,WWRVJqU2zpkKS1ynbc,26,0gbVvTxcxrFg4Ju4LU,26,xOeZIAIjuKvH5TZLfU,12/8/2021,lAVNtMRHL6ylfpnVtZ,26,MOg0lbXbSYShk27dOa,10/5/2021,u0CXnAXrolKKHByvDm,26,Y5eKOirdHnWknZv2b4,8/22/2021,tsyVIDin1gSPjOtXqG,26,msc8LgFDvgWyFnO2wf,26,"",26,"","",26,rDRZqw0wUZediQvU6V,4LyfqrXVmYeoKo54uU,SSmG7BPKxUlLr23MAT,gQfJhZEwiA7gNxW22c,qbF9ZYuTlRI7F9FiMb,11/27/2021,26,26,26,26,26,26,26,26,26,"","",""
27,27,qXOUYyd6R7kj062nl1,27,Vaek3wxSII1qa8bRiu,LPJL5rXndmNQNNRKGq,4/25/2022,27,7/4/2022,1/30/2022,10/22/2021,10/8/2021,27,27,27,27,27,27,27,27,"",27,0hVQkS6iSdJolfjdJ0,27,vr3DloKoXSGCgo8E3t,27,8GftmN6lxYS4a3GrMu,12/21/2021,tthZnOVuTwJjq0T98h,27,MjW5HsgAv9F4dj5UKY,9/10/2021,O3NBNl6mKMlCMBGrEA,27,MXOyE2QopBnPs9UmQH,9/26/2021,2pFjyVkoo3Pu2Pvf0U,27,RP66Yw7NNrlruNC1j0,27,"",27,"","",27,UrVSnXvxxmhZy4nNYB,x461yEoaWqEQ0xd9TL,SrkmFlM3Jr1WAjNZLg,aD1ELoims8NTg3tunw,uBs03hA5FQXmWscPXi,2/22/2022,27,27,27,27,27,27,27,27,27,"","",""
28,28,sOot018yN5FzIXS6Y1,28,JxOfgrM0fUMcTYSMiN,7NzyzjQXkf7bX8pdQC,4/20/2022,28,5/24/2022,4/26/2022,11/21/2021,11/14/2021,28,28,28,28,28,28,28,28,"",28,adQriSlIScTBMxdfcF,28,ADPsiBa76HXnxJZd2H,28,SjdjxSRghWYmMbmucB,4/12/2022,BJHN3YnLRv2aeaHHK5,28,4GwDdmBY8GH2Riultd,7/6/2022,BQ1dPqRBKq3HvMKbZL,28,UiQrwHHpMgzYtMbTxv,4/20/2022,wonVD2M7kKjznaVgSp,28,VtNh3czdZ51tCHNazj,28,"",28,"","",28,DBxMOaHwTA4sjGsmj9,Y1Lv0VoGuKg2TuCMUl,Ljh2SmG8vWz2m9Aax5,qAqI7P6Vbh9ud44S46,087cnM2cJSWPjSWUte,3/19/2022,28,28,28,28,28,28,28,28,28,"","",""
29,29,8ZILrbZRj1GTnxd5gK,29,EfFAGnYNPWaugEpUM0,mzrfqtY9DuFdOUdloG,4/4/2022,29,6/22/2022,12/7/2021,3/4/2022,1/10/2022,29,29,29,29,29,29,29,29,"",29,rQV4ISYbU04tIdpYYg,29,mFSraiyxkXr6QZOEFb,29,5xAdk4c0c60IKh7o5d,7/4/2022,y5RunzVRkuElTXEqWK,29,sy9A5foXJOeDVQQRHk,3/8/2022,Lomo1dQC8qds33SmAG,29,O0IUAMwqHLzLicPfWd,10/25/2021,20yeiNV1pibjvzi2wV,29,piaJpM8QcDzJSitnYD,29,"",29,"","",29,yubROIxrqsoFo2IdLk,xTo5YDig6unUdFUgVn,1jjqx4xZeIVCqPKyAV,6oY7K3BCpdXKZ6mlWD,xpQFxonCW64YYRJCnK,5/8/2022,29,29,29,29,29,29,29,29,29,"","",""
