TABLE_NAME                    ,COLUMN_NAME                   ,DATA_LENGTH
ZX0M                          ,MODEMP                        ,3
ZX0M                          ,REPEMP                        ,3
ZX0M                          ,LIBEMP                        ,45
ZX0M                          ,CLASSI                        ,8
ZX0M                          ,MODCLA                        ,3
ZX0M                          ,REPCLA                        ,3
ZX0M                          ,LIBCLA                        ,45
ZX0M                          ,TYPPAI                        ,1
ZX0M                          ,MODTYP                        ,3
ZX0M                          ,REPTYP                        ,3
ZX0M                          ,LIBTYP                        ,45
ZX0M                          ,MODTAR                        ,3
ZX0M                          ,REPTAR                        ,3
ZX0M                          ,LIBTAR                        ,45
ZX0M                          ,POSITI                        ,2
ZX0M                          ,MODPOS                        ,3
ZX0M                          ,REPPOS                        ,3
ZX0M                          ,LIBPOS                        ,45
ZX0M                          ,INDICE                        ,3
ZX0M                          ,MODIND                        ,3
ZX0M                          ,REPIND                        ,3
ZX0M                          ,LIBIND                        ,45
ZX0M                          ,FILLE1                        ,3
ZX0M                          ,COEFFI                        ,4
ZX0M                          ,MODCOE                        ,3
ZX0M                          ,REPCOE                        ,3
ZX0M                          ,LIBCOE                        ,45
ZX0M                          ,NIVEAU                        ,1
ZX0M                          ,ECHELO                        ,1
ZX0M                          ,FILLE2                        ,2
ZX0M                          ,CONCOV                        ,8
ZX0M                          ,MODCOC                        ,3
ZX0M                          ,REPCOC                        ,3
ZX0M                          ,LIBCOC                        ,45
ZX0M                          ,TEMETA                        ,1
ZX0M                          ,IDESTA                        ,8
ZX0M                          ,MODETA                        ,3
ZX0M                          ,REPETA                        ,3
ZX0M                          ,LIBETA                        ,45
ZX0M                          ,TEMHEU                        ,1
ZX0M                          ,CODTRA                        ,2
ZX0M                          ,MODTRA                        ,3
ZX0M                          ,REPTRA                        ,3
ZX0M                          ,LIBTRA                        ,45
ZX0M                          ,CODINC                        ,8
ZX0M                          ,MODINC                        ,3
ZX0M                          ,REPINC                        ,3
ZX0M                          ,LIBINC                        ,45
ZX0M                          ,NBSTHD                        ,22
ZX0M                          ,NBSTHW                        ,22
ZX0M                          ,NBSTHM                        ,22
ZX0M                          ,NBSTHP                        ,22
ZX0M                          ,RTSTHR                        ,22
ZX0M                          ,NBPDHD                        ,22
ZX0M                          ,NBPDHW                        ,22
ZX0M                          ,NBPDHM                        ,22
ZX0M                          ,NBPDHP                        ,22
ZX0M                          ,RTPDHR                        ,22
ZX0M                          ,TEMSAL                        ,1
ZX0M                          ,RUBAUG                        ,3
ZX0M                          ,MODRUB                        ,3
ZX0M                          ,REPRUB                        ,3
ZX0M                          ,LIBRUB                        ,45
ZX0M                          ,IDCUR                         ,3
ZX0M                          ,IDCURX                        ,1
ZX0M                          ,DUCMQF                        ,2
ZX0M                          ,MODDUC                        ,3
ZX0M                          ,REPDUC                        ,3
ZX0M                          ,LIBDUC                        ,45
ZX0M                          ,DUPAY0                        ,2
ZX0M                          ,MODDUP                        ,3
ZX0M                          ,REPDUP                        ,3
ZX0M                          ,LIBDUP                        ,45
ZX0M                          ,MTSAL                         ,22
ZX0M                          ,CMOTIF                        ,3
ZX0M                          ,MODCMO                        ,3
ZX0M                          ,REPCMO                        ,3
ZX0M                          ,LIBCMO                        ,45
ZX0M                          ,AMHRL                         ,22
ZX0M                          ,AMPYP                         ,22
ZX0M                          ,MODHOR                        ,3
ZX0M                          ,EXTDA1                        ,7
ZX0M                          ,EXTDA2                        ,7
ZX0M                          ,EXTCF1                        ,1
ZX0M                          ,EXTCF2                        ,1
ZX0M                          ,EXTC21                        ,20
ZX0M                          ,EXTC22                        ,20
ZX0M                          ,EXTC1M                        ,3
ZX0M                          ,EXTC1C                        ,15
ZX0M                          ,EXTC1R                        ,3
ZX0M                          ,EXTC1L                        ,45
ZX0M                          ,EXTC2M                        ,3
ZX0M                          ,EXTC2C                        ,15
ZX0M                          ,EXTC2R                        ,3
ZX0M                          ,EXTC2L                        ,45
ZX0M                          ,EXTNU1                        ,22
ZX0M                          ,EXTNU2                        ,22
ZX0M                          ,EXT100                        ,100
ZX0M                          ,CHBASE                        ,3
ZX0M                          ,CHPERS                        ,3
ZX0M                          ,CHSPEC                        ,3
ZX0M                          ,CHNIVE                        ,1
ZX0M                          ,CHECHL                        ,1
ZX0M                          ,COGRPE                        ,1
ZX0M                          ,CONIVE                        ,1
ZX0M                          ,IDGPRG                        ,22
ZX0M                          ,SOCCLE                        ,3
ZX0M                          ,MATRIC                        ,12
ZX0M                          ,NUDOSP                        ,22
ZX0M                          ,IDSITU                        ,2
ZX0M                          ,PERPAI                        ,8
ZX0M                          ,USAGEP                        ,1
ZX0M                          ,NUMTRT                        ,1
ZX0M                          ,NUMBUL                        ,2
ZX0M                          ,TIMEST                        ,7
ZX0M                          ,FORANU                        ,22
ZX35                          ,NUDOSS                        ,22
ZX35                          ,NULIGN                        ,22
ZX35                          ,SOCDOS                        ,3
ZX35                          ,PGPDOS                        ,22
ZX35                          ,CODLAN                        ,2
ZX35                          ,DATENT                        ,7
ZX35                          ,DATSOR                        ,7
ZX35                          ,PHYSOR                        ,7
ZX35                          ,MDCDEN                        ,3
ZX35                          ,CODENT                        ,3
ZX35                          ,REPENT                        ,3
ZX35                          ,LIBENT                        ,45
ZX35                          ,MDCDSO                        ,3
ZX35                          ,CODSOR                        ,3
ZX35                          ,REPSOR                        ,3
ZX35                          ,LIBSOR                        ,45
ZX35                          ,MDCGST                        ,3
ZX35                          ,CGSTHI                        ,6
ZX35                          ,REPCGS                        ,3
ZX35                          ,LIBCGS                        ,45
ZX35                          ,MDRSST                        ,3
ZX35                          ,RSSTHI                        ,6
ZX35                          ,REPRSS                        ,3
ZX35                          ,LIBRSS                        ,45
ZX35                          ,MDCGSS                        ,3
ZX35                          ,CGSTAT                        ,6
ZX35                          ,REPCST                        ,3
ZX35                          ,LIBCST                        ,45
ZX35                          ,MDRSSS                        ,3
ZX35                          ,RSSTAT                        ,6
ZX35                          ,REPRST                        ,3
ZX35                          ,LIBRST                        ,45
ZX35                          ,ANCIEN                        ,7
ZX35                          ,DATEUT                        ,7
ZX35                          ,ANCIE3                        ,7
ZX35                          ,ANCIE4                        ,7
ZX35                          ,ANCIE5                        ,7
ZX35                          ,ANCIE6                        ,7
ZX35                          ,ANCIE7                        ,7
ZX35                          ,ANCIE8                        ,7
ZX35                          ,ANCIE9                        ,7
ZX35                          ,ANCIE0                        ,7
ZX35                          ,LIBMAT                        ,12
ZX35                          ,FILLER                        ,5
ZX35                          ,IDGPRG                        ,22
ZX35                          ,SOCCLE                        ,3
ZX35                          ,MATRIC                        ,12
ZX35                          ,NUDOSP                        ,22
ZX35                          ,IDSITU                        ,2
ZX35                          ,PERPAI                        ,8
ZX35                          ,USAGEP                        ,1
ZX35                          ,NUMTRT                        ,1
ZX35                          ,NUMBUL                        ,2
ZX35                          ,TIMEST                        ,7
ZX37                          ,NUDOSS                        ,22
ZX37                          ,NULIGN                        ,22
ZX37                          ,SOCDOS                        ,3
ZX37                          ,PGPDOS                        ,22
ZX37                          ,CODLAN                        ,2
ZX37                          ,MODETA                        ,3
ZX37                          ,ETABLI                        ,8
ZX37                          ,REPETA                        ,3
ZX37                          ,LIBETA                        ,45
ZX37                          ,IDCONT                        ,3
ZX37                          ,DIRECT                        ,10
ZX37                          ,SERVIC                        ,10
ZX37                          ,SECTIO                        ,10
ZX37                          ,SOUSEC                        ,10
ZX37                          ,LEVEL5                        ,10
ZX37                          ,LEVEL6                        ,10
ZX37                          ,LEVEL7                        ,10
ZX37                          ,LEVEL8                        ,10
ZX37                          ,LEVEL9                        ,10
ZX37                          ,LEVELA                        ,10
ZX37                          ,LEVELB                        ,10
ZX37                          ,LEVELC                        ,10
ZX37                          ,FILLER                        ,10
ZX37                          ,EXTDA1                        ,7
ZX37                          ,EXTDA2                        ,7
ZX37                          ,EXTCF1                        ,1
ZX37                          ,EXTCF2                        ,1
ZX37                          ,EXTC21                        ,20
ZX37                          ,EXTC22                        ,20
ZX37                          ,EXTC1M                        ,3
ZX37                          ,EXTC1C                        ,15
ZX37                          ,EXTC1R                        ,3
ZX37                          ,EXTC1L                        ,45
ZX37                          ,EXTC2M                        ,3
ZX37                          ,EXTC2C                        ,15
ZX37                          ,EXTC2R                        ,3
ZX37                          ,EXTC2L                        ,45
ZX37                          ,EXTNU1                        ,22
ZX37                          ,EXTNU2                        ,22
ZX37                          ,EXT100                        ,100
ZX37                          ,IDGPRG                        ,22
ZX37                          ,SOCCLE                        ,3
ZX37                          ,MATRIC                        ,12
ZX37                          ,NUDOSP                        ,22
ZX37                          ,IDSITU                        ,2
ZX37                          ,PERPAI                        ,8
ZX37                          ,USAGEP                        ,1
ZX37                          ,NUMTRT                        ,1
ZX37                          ,NUMBUL                        ,2
ZX37                          ,TIMEST                        ,7
ZX38                          ,NUDOSS                        ,22
ZX38                          ,NULIGN                        ,22
ZX38                          ,SOCDOS                        ,3
ZX38                          ,PGPDOS                        ,22
ZX38                          ,CODLAN                        ,2
ZX38                          ,MODQUA                        ,3
ZX38                          ,QUALIF                        ,8
ZX38                          ,CLASSI                        ,8
ZX38                          ,REPQUA                        ,3
ZX38                          ,LIBQUA                        ,45
ZX38                          ,MODCLA                        ,3
ZX38                          ,REPCLA                        ,3
ZX38                          ,LIBCLA                        ,45
ZX38                          ,MODEMP                        ,3
ZX38                          ,REPEMP                        ,3
ZX38                          ,LIBEMP                        ,45
ZX38                          ,CODGRO                        ,1
ZX38                          ,MODTAR                        ,3
ZX38                          ,REPTAR                        ,3
ZX38                          ,LIBTAR                        ,45
ZX38                          ,MOTPRO                        ,3
ZX38                          ,NOORDR                        ,6
ZX38                          ,CODNAT                        ,3
ZX38                          ,MODPOS                        ,3
ZX38                          ,POSITI                        ,2
ZX38                          ,REPPOS                        ,3
ZX38                          ,LIBPOS                        ,45
ZX38                          ,MODIND                        ,3
ZX38                          ,INDICE                        ,3
ZX38                          ,REPIND                        ,3
ZX38                          ,LIBIND                        ,45
ZX38                          ,FILLE1                        ,3
ZX38                          ,MODCOE                        ,3
ZX38                          ,COEFFI                        ,4
ZX38                          ,REPCOE                        ,3
ZX38                          ,LIBCOE                        ,45
ZX38                          ,NIVEAU                        ,1
ZX38                          ,ECHELO                        ,1
ZX38                          ,FILLE2                        ,2
ZX38                          ,MODCOC                        ,3
ZX38                          ,COCONV                        ,8
ZX38                          ,REGSPE                        ,2
ZX38                          ,REPCOC                        ,3
ZX38                          ,LIBCOC                        ,45
ZX38                          ,FILLE3                        ,3
ZX38                          ,MODCIA                        ,3
ZX38                          ,CDCIA                         ,3
ZX38                          ,REPCIA                        ,3
ZX38                          ,LIBCIA                        ,45
ZX38                          ,MODPAY                        ,3
ZX38                          ,PAYQUA                        ,8
ZX38                          ,REPPAY                        ,3
ZX38                          ,LIBPAY                        ,45
ZX38                          ,MDECHL                        ,3
ZX38                          ,ECHLMA                        ,2
ZX38                          ,RPECHL                        ,3
ZX38                          ,LBECHL                        ,45
ZX38                          ,DTECHL                        ,7
ZX38                          ,MDECHO                        ,3
ZX38                          ,ECHOMA                        ,2
ZX38                          ,RPECHO                        ,3
ZX38                          ,LBECHO                        ,45
ZX38                          ,DTECHO                        ,7
ZX38                          ,EXTDA1                        ,7
ZX38                          ,EXTDA2                        ,7
ZX38                          ,EXTCF1                        ,1
ZX38                          ,EXTCF2                        ,1
ZX38                          ,EXTC21                        ,20
ZX38                          ,EXTC22                        ,20
ZX38                          ,EXTC1M                        ,3
ZX38                          ,EXTC1C                        ,15
ZX38                          ,EXTC1R                        ,3
ZX38                          ,EXTC1L                        ,45
ZX38                          ,EXTC2M                        ,3
ZX38                          ,EXTC2C                        ,15
ZX38                          ,EXTC2R                        ,3
ZX38                          ,EXTC2L                        ,45
ZX38                          ,EXTNU1                        ,22
ZX38                          ,EXTNU2                        ,22
ZX38                          ,EXT100                        ,100
ZX38                          ,CHBASE                        ,3
ZX38                          ,CHPERS                        ,3
ZX38                          ,CHSPEC                        ,3
ZX38                          ,CHNIVE                        ,1
ZX38                          ,CHECHL                        ,1
ZX38                          ,COGRPE                        ,1
ZX38                          ,CONIVE                        ,1
ZX38                          ,IDGPRG                        ,22
ZX38                          ,SOCCLE                        ,3
ZX38                          ,MATRIC                        ,12
ZX38                          ,NUDOSP                        ,22
ZX38                          ,IDSITU                        ,2
ZX38                          ,PERPAI                        ,8
ZX38                          ,USAGEP                        ,1
ZX38                          ,NUMTRT                        ,1
ZX38                          ,NUMBUL                        ,2
ZX38                          ,TIMEST                        ,7
ZX3B                          ,NUDOSS                        ,22
ZX3B                          ,NULIGN                        ,22
ZX3B                          ,SOCDOS                        ,3
ZX3B                          ,PGPDOS                        ,22
ZX3B                          ,CODLAN                        ,2
ZX3B                          ,CODCON                        ,3
ZX3B                          ,ANNEES                        ,7
ZX3B                          ,IDZYES                        ,22
ZX3B                          ,DATDEB                        ,7
ZX3B                          ,DATFIN                        ,7
ZX3B                          ,DEBACQ                        ,7
ZX3B                          ,FINACQ                        ,7
ZX3B                          ,ACQUIA                        ,22
ZX3B                          ,REPPRE                        ,22
ZX3B                          ,REPECR                        ,22
ZX3B                          ,REPSUI                        ,22
ZX3B                          ,PAYESS                        ,22
ZX3B                          ,DRTPRI                        ,22
ZX3B                          ,RESTAN                        ,22
ZX3B                          ,AJUST1                        ,22
ZX3B                          ,MOTIF1                        ,2
ZX3B                          ,AJUST2                        ,22
ZX3B                          ,MOTIF2                        ,2
ZX3B                          ,AJUST3                        ,22
ZX3B                          ,MOTIF3                        ,2
ZX3B                          ,AJUST4                        ,22
ZX3B                          ,MOTIF4                        ,2
ZX3B                          ,DTUPD1                        ,7
ZX3B                          ,MOTIR1                        ,3
ZX3B                          ,AMREP1                        ,22
ZX3B                          ,CPTCR1                        ,3
ZX3B                          ,DTUPD2                        ,7
ZX3B                          ,MOTIR2                        ,3
ZX3B                          ,AMREP2                        ,22
ZX3B                          ,CPTCR2                        ,3
ZX3B                          ,DTUPD3                        ,7
ZX3B                          ,MOTIR3                        ,3
ZX3B                          ,AMREP3                        ,22
ZX3B                          ,CPTCR3                        ,3
ZX3B                          ,AMREPT                        ,22
ZX3B                          ,POSBUL                        ,1
ZX3B                          ,IDGPRG                        ,22
ZX3B                          ,SOCCLE                        ,3
ZX3B                          ,MATRIC                        ,12
ZX3B                          ,NUDOSP                        ,22
ZX3B                          ,IDSITU                        ,2
ZX3B                          ,PERPAI                        ,8
ZX3B                          ,USAGEP                        ,1
ZX3B                          ,NUMTRT                        ,1
ZX3B                          ,NUMBUL                        ,2
ZX3B                          ,TIMEST                        ,7
ZX3B                          ,HHPRIS                        ,22
ZX3B                          ,JJREEL                        ,22
ZX3B                          ,HHREEL                        ,22
ZX3B                          ,HHREST                        ,22
ZX3B                          ,HHACQU                        ,22
ZX3B                          ,JJRELI                        ,22
ZX3B                          ,HHRELI                        ,22
ZX3B                          ,JFRACT                        ,22
ZX3B                          ,HFRACT                        ,22
ZX3B                          ,MODELR                        ,3
ZX3B                          ,REPELR                        ,3
ZX3B                          ,LIBELL                        ,45
ZX40                          ,NUDOSS                        ,22
ZX40                          ,NULIGN                        ,22
ZX40                          ,SOCDOS                        ,3
ZX40                          ,PGPDOS                        ,22
ZX40                          ,CODLAN                        ,2
ZX40                          ,DATEFF                        ,7
ZX40                          ,MODTRA                        ,3
ZX40                          ,CODTRA                        ,2
ZX40                          ,REPTRA                        ,3
ZX40                          ,LIBTRA                        ,45
ZX40                          ,MODINC                        ,3
ZX40                          ,CODINC                        ,8
ZX40                          ,REPINC                        ,3
ZX40                          ,LIBINC                        ,45
ZX40                          ,NBSTHD                        ,22
ZX40                          ,NBSTHW                        ,22
ZX40                          ,NBSTHM                        ,22
ZX40                          ,RTSTHR                        ,22
ZX40                          ,NBPDHD                        ,22
ZX40                          ,NBPDHW                        ,22
ZX40                          ,NBPDHM                        ,22
ZX40                          ,RTPDHR                        ,22
ZX40                          ,EXTDA1                        ,7
ZX40                          ,EXTDA2                        ,7
ZX40                          ,EXTCF1                        ,1
ZX40                          ,EXTCF2                        ,1
ZX40                          ,EXTC21                        ,20
ZX40                          ,EXTC22                        ,20
ZX40                          ,EXTC1M                        ,3
ZX40                          ,EXTC1C                        ,15
ZX40                          ,EXTC1R                        ,3
ZX40                          ,EXTC1L                        ,45
ZX40                          ,EXTC2M                        ,3
ZX40                          ,EXTC2C                        ,15
ZX40                          ,EXTC2R                        ,3
ZX40                          ,EXTC2L                        ,45
ZX40                          ,EXTNU1                        ,22
ZX40                          ,EXTNU2                        ,22
ZX40                          ,EXT100                        ,100
ZX40                          ,IDGPRG                        ,22
ZX40                          ,SOCCLE                        ,3
ZX40                          ,MATRIC                        ,12
ZX40                          ,NUDOSP                        ,22
ZX40                          ,IDSITU                        ,2
ZX40                          ,PERPAI                        ,8
ZX40                          ,USAGEP                        ,1
ZX40                          ,NUMTRT                        ,1
ZX40                          ,NUMBUL                        ,2
ZX40                          ,TIMEST                        ,7
ZX40                          ,MODHOR                        ,3
ZX40                          ,FORANU                        ,22
ZX40                          ,FORANH                        ,22
ZX5V                          ,NUDOSS                        ,22
ZX5V                          ,SOCDOS                        ,3
ZX5V                          ,PGPDOS                        ,22
ZX5V                          ,VALIDT                        ,1
ZX5V                          ,TIMVAL                        ,7
ZX5V                          ,WORKID                        ,22
ZX5V                          ,SOURCE                        ,1
ZX5V                          ,CDUSAP                        ,254
ZX5V                          ,CDUSTO                        ,254
ZX5V                          ,REASON                        ,50
ZX5V                          ,WERROR                        ,22
ZX5V                          ,IDGPRG                        ,22
ZX5V                          ,SOCCLE                        ,3
ZX5V                          ,MATRIC                        ,12
ZX5V                          ,NUDOSP                        ,22
ZX5V                          ,IDSITU                        ,2
ZX5V                          ,PERPAI                        ,8
ZX5V                          ,USAGEP                        ,1
ZX5V                          ,NUMTRT                        ,1
ZX5V                          ,NUMBUL                        ,2
ZX5V                          ,TIMEST                        ,7
ZX6A                          ,NUDOSS                        ,22
ZX6A                          ,NULIGN                        ,22
ZX6A                          ,SOCDOS                        ,3
ZX6A                          ,PGPDOS                        ,22
ZX6A                          ,DEBABS                        ,7
ZX6A                          ,IDEREM                        ,12
ZX6A                          ,CODABS                        ,3
ZX6A                          ,SOURCE                        ,1
ZX6A                          ,CODLAN                        ,2
ZX6A                          ,MODABS                        ,3
ZX6A                          ,REPABS                        ,3
ZX6A                          ,LIBELL                        ,45
ZX6A                          ,FINABS                        ,7
ZX6A                          ,IDGPRG                        ,22
ZX6A                          ,SOCCLE                        ,3
ZX6A                          ,MATRIC                        ,12
ZX6A                          ,NUDOSP                        ,22
ZX6A                          ,IDSITU                        ,2
ZX6A                          ,PERPAI                        ,8
ZX6A                          ,USAGEP                        ,1
ZX6A                          ,NUMTRT                        ,1
ZX6A                          ,NUMBUL                        ,2
ZX6A                          ,TIMEST                        ,7
ZX6A                          ,POABBU                        ,2
ZX6C                          ,NUDOSS                        ,22
ZX6C                          ,NULIGN                        ,22
ZX6C                          ,SOCDOS                        ,3
ZX6C                          ,PGPDOS                        ,22
ZX6C                          ,NUMCUM                        ,3
ZX6C                          ,PERDEB                        ,6
ZX6C                          ,FILLER                        ,4
ZX6C                          ,CDAXES                        ,8
ZX6C                          ,CODLAN                        ,2
ZX6C                          ,MODCUM                        ,3
ZX6C                          ,REPCUM                        ,3
ZX6C                          ,LIBCUM                        ,45
ZX6C                          ,MONCUM                        ,22
ZX6C                          ,BPAMNT                        ,22
ZX6C                          ,IDGPRG                        ,22
ZX6C                          ,SOCCLE                        ,3
ZX6C                          ,MATRIC                        ,12
ZX6C                          ,NUDOSP                        ,22
ZX6C                          ,IDSITU                        ,2
ZX6C                          ,PERPAI                        ,8
ZX6C                          ,USAGEP                        ,1
ZX6C                          ,NUMTRT                        ,1
ZX6C                          ,NUMBUL                        ,2
ZX6C                          ,TIMEST                        ,7
ZX6P                          ,NUDOSS                        ,22
ZX6P                          ,NULIGN                        ,22
ZX6P                          ,SOCDOS                        ,3
ZX6P                          ,PGPDOS                        ,22
ZX6P                          ,RUBPRE                        ,3
ZX6P                          ,ORDPRE                        ,22
ZX6P                          ,NUMPRE                        ,17
ZX6P                          ,CODLAN                        ,2
ZX6P                          ,MODPRE                        ,3
ZX6P                          ,REPPRE                        ,3
ZX6P                          ,LIBPRE                        ,45
ZX6P                          ,MONPR                         ,22
ZX6P                          ,MONPRD                        ,3
ZX6P                          ,MONPRX                        ,1
ZX6P                          ,DEBPRE                        ,7
ZX6P                          ,FINPRE                        ,7
ZX6P                          ,ECHPRE                        ,22
ZX6P                          ,MENPR                         ,22
ZX6P                          ,MENPRD                        ,3
ZX6P                          ,MENPRX                        ,1
ZX6P                          ,SOLPR                         ,22
ZX6P                          ,SOLPRD                        ,3
ZX6P                          ,SOLPRX                        ,1
ZX6P                          ,UTIPRE                        ,6
ZX6P                          ,TXIPRE                        ,22
ZX6P                          ,MTINT                         ,22
ZX6P                          ,MTINTD                        ,3
ZX6P                          ,MTINTX                        ,1
ZX6P                          ,DTCONC                        ,7
ZX6P                          ,DTRECP                        ,7
ZX6P                          ,DTVIRC                        ,7
ZX6P                          ,DTPRHB                        ,7
ZX6P                          ,CAPNA                         ,22
ZX6P                          ,CAPNAD                        ,3
ZX6P                          ,CAPNAX                        ,1
ZX6P                          ,IMPUT                         ,22
ZX6P                          ,IMPUTD                        ,3
ZX6P                          ,IMPUTX                        ,1
ZX6P                          ,SOLAV                         ,22
ZX6P                          ,SOLAVD                        ,3
ZX6P                          ,SOLAVX                        ,1
ZX6P                          ,JURSID                        ,11
ZX6P                          ,PTDAM                         ,22
ZX6P                          ,PTDAMD                        ,3
ZX6P                          ,PTDAMX                        ,1
ZX6P                          ,WTHLPC                        ,22
ZX6P                          ,IDGPRG                        ,22
ZX6P                          ,SOCCLE                        ,3
ZX6P                          ,MATRIC                        ,12
ZX6P                          ,NUDOSP                        ,22
ZX6P                          ,IDSITU                        ,2
ZX6P                          ,PERPAI                        ,8
ZX6P                          ,USAGEP                        ,1
ZX6P                          ,NUMTRT                        ,1
ZX6P                          ,NUMBUL                        ,2
ZX6P                          ,TIMEST                        ,7
ZX8K                          ,NUDOSS                        ,22
ZX8K                          ,NULIGN                        ,22
ZX8K                          ,SOCDOS                        ,3
ZX8K                          ,PGPDOS                        ,22
ZX8K                          ,IDEREM                        ,12
ZX8K                          ,CODRUB                        ,3
ZX8K                          ,CODLAN                        ,2
ZX8K                          ,CDAXES                        ,8
ZX8K                          ,FRQVAL                        ,2
ZX8K                          ,PERVAL                        ,22
ZX8K                          ,DATRUB                        ,7
ZX8K                          ,CODRAP                        ,1
ZX8K                          ,SOURCE                        ,1
ZX8K                          ,CALCUL                        ,1
ZX8K                          ,MODELR                        ,3
ZX8K                          ,REPELR                        ,3
ZX8K                          ,LIBELL                        ,45
ZX8K                          ,NBRDEC                        ,1
ZX8K                          ,NBRBAS                        ,22
ZX8K                          ,TAUSAL                        ,22
ZX8K                          ,MONSAL                        ,22
ZX8K                          ,TAUPAT                        ,22
ZX8K                          ,MONPAT                        ,22
ZX8K                          ,IMPUTA                        ,24
ZX8K                          ,ZONEUT                        ,20
ZX8K                          ,CODABS                        ,3
ZX8K                          ,DEBABS                        ,7
ZX8K                          ,FINABS                        ,7
ZX8K                          ,IDTXTA                        ,11
ZX8K                          ,IDTXTT                        ,6
ZX8K                          ,TYTXPM                        ,1
ZX8K                          ,FLTXSP                        ,1
ZX8K                          ,IDPLAN                        ,10
ZX8K                          ,FLTAG2                        ,1
ZX8K                          ,MEMO01                        ,15
ZX8K                          ,MEMO02                        ,15
ZX8K                          ,MEMO03                        ,8
ZX8K                          ,MEMO04                        ,8
ZX8K                          ,MEMO05                        ,5
ZX8K                          ,MEMO06                        ,5
ZX8K                          ,MEMO07                        ,5
ZX8K                          ,MEMO08                        ,5
ZX8K                          ,MEMO09                        ,3
ZX8K                          ,MEMO10                        ,3
ZX8K                          ,MEMO11                        ,3
ZX8K                          ,MODORG                        ,3
ZX8K                          ,REPORG                        ,3
ZX8K                          ,CODORG                        ,15
ZX8K                          ,LIBORG                        ,45
ZX8K                          ,QLPRWC                        ,15
ZX8K                          ,QLPRWN                        ,15
ZX8K                          ,QLPRW1                        ,15
ZX8K                          ,QLPRW2                        ,15
ZX8K                          ,QLPRW3                        ,15
ZX8K                          ,QLPRW4                        ,15
ZX8K                          ,QLPRW5                        ,15
ZX8K                          ,QLPRW6                        ,15
ZX8K                          ,QLPRW7                        ,15
ZX8K                          ,QLPRW8                        ,15
ZX8K                          ,TEJOU1                        ,1
ZX8K                          ,TEJOU2                        ,1
ZX8K                          ,TEJOU3                        ,1
ZX8K                          ,TEJOU4                        ,1
ZX8K                          ,TEJOU5                        ,1
ZX8K                          ,TEJOU6                        ,1
ZX8K                          ,TEJOU7                        ,1
ZX8K                          ,RGPOSJ                        ,2
ZX8K                          ,TEBULQ                        ,1
ZX8K                          ,TEBULD                        ,22
ZX8K                          ,TEBULT                        ,1
ZX8K                          ,TEBULM                        ,1
ZX8K                          ,RGPOSB                        ,2
ZX8K                          ,RGPOSA                        ,2
ZX8K                          ,RGPOSE                        ,2
ZX8K                          ,TEMONT                        ,1
ZX8K                          ,FLTAG1                        ,1
ZX8K                          ,IDGPRG                        ,22
ZX8K                          ,SOCCLE                        ,3
ZX8K                          ,MATRIC                        ,12
ZX8K                          ,NUDOSP                        ,22
ZX8K                          ,IDSITU                        ,2
ZX8K                          ,PERPAI                        ,8
ZX8K                          ,USAGEP                        ,1
ZX8K                          ,NUMTRT                        ,1
ZX8K                          ,NUMBUL                        ,2
ZX8K                          ,TIMEST                        ,7
ZX8K                          ,CDRULE                        ,8
ZX8K                          ,POSAGR                        ,2
ZXM7                          ,NUDOSS                        ,22
